Ref,Val,Package,PosX,PosY,Rot,Side
"M5,""Stepper_Motor_unipolar_6pin"",""JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical"",117.458500,-153.556500,0.000000,top"
"M6,""Stepper_Motor_unipolar_6pin"",""JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical"",136.076000,-153.596500,0.000000,top"
"M7,""Stepper_Motor_unipolar_6pin"",""JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical"",154.598500,-153.586500,0.000000,top"
"Q1,""bss138"",""SOT-23"",205.808500,-97.741500,-90.000000,top"
"R14,""10k"",""R_0805_2012Metric"",48.288500,-74.001500,0.000000,top"
"R34,""0.025Ω"",""R_1206_3216Metric"",62.128500,-98.856500,0.000000,top"
"R35,""0.025Ω"",""R_1206_3216Metric"",201.208500,-98.391500,-90.000000,top"
"R37,""0.025Ω"",""R_1206_3216Metric"",62.128500,-108.786500,0.000000,top"
"R38,""0.025Ω"",""R_1206_3216Metric"",77.258500,-117.291500,0.000000,top"
"R39,""0.025Ω"",""R_1206_3216Metric"",108.608500,-113.591500,-90.000000,top"
"R41,""0.025Ω"",""R_1206_3216Metric"",175.658500,-97.491500,0.000000,top"
"R42,""0.025Ω"",""R_1206_3216Metric"",192.008500,-98.391500,-90.000000,top"
"R43,""0.025Ω"",""R_1206_3216Metric"",67.738500,-108.786500,0.000000,top"
"R44,""0.025Ω"",""R_1206_3216Metric"",67.738500,-112.096500,0.000000,top"
"R45,""0.025Ω"",""R_1206_3216Metric"",73.348500,-95.546500,0.000000,top"
"R47,""0.025Ω"",""R_1206_3216Metric"",73.348500,-102.166500,0.000000,top"
"R48,""0.025Ω"",""R_1206_3216Metric"",182.808500,-98.391500,-90.000000,top"
"R49,""10R"",""R_0805_2012Metric"",156.868500,-110.601500,90.000000,top"
"R50,""1k"",""R_0805_2012Metric"",201.008500,-103.741500,0.000000,top"
"R51,""10R"",""R_0805_2012Metric"",156.942250,-97.846500,90.000000,top"
"R52,""12K 1%"",""R_0805_2012Metric"",162.101000,-113.096500,0.000000,top"
"R53,""100"",""R_0805_2012Metric"",228.158500,-140.741500,-90.000000,top"
"R54,""12K 1%"",""R_0805_2012Metric"",162.142250,-100.246500,0.000000,top"
"R55,""105k"",""R_0805_2012Metric"",163.601000,-118.196500,90.000000,top"
"R56,""33k"",""R_0805_2012Metric"",165.701000,-118.196500,90.000000,top"
"R57,""330"",""R_0805_2012Metric"",131.746750,-133.937500,-90.000000,top"
"R58,""100R"",""R_0805_2012Metric"",211.008500,-90.941500,0.000000,top"
"R59,""210k"",""R_0805_2012Metric"",163.642250,-105.346500,90.000000,top"
"R60,""33k"",""R_0805_2012Metric"",165.808500,-105.346500,90.000000,top"
"R61,""10R"",""R_0805_2012Metric"",143.638500,-101.141500,-90.000000,top"
"R62,""100R"",""R_0805_2012Metric"",206.708500,-93.741500,90.000000,top"
