Ref,Val,Package,PosX,PosY,Rot,Side
"L4,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",238.000000,-234.000000,-0.000000,bottom"
"L5,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",252.000000,-195.000000,-0.000000,bottom"
"Q4,""IRLML2502"",""SOT-23"",292.000000,-216.000000,-0.000000,bottom"
"Q5,""IRLML2502"",""SOT-23"",277.000000,-282.000000,-0.000000,bottom"
"Q6,""IRLML2502"",""SOT-23"",316.000000,-237.000000,-0.000000,bottom"
"Q7,""IRLML2502"",""SOT-23"",316.000000,-242.000000,-0.000000,bottom"
"Q8,""IRLML2502"",""SOT-23"",217.000000,-235.000000,-0.000000,bottom"
"Q9,""IRLML2502"",""SOT-23"",236.000000,-245.000000,-0.000000,bottom"
"Q10,""IRLML2502"",""SOT-23"",280.000000,-261.000000,-0.000000,bottom"
"Q11,""IRLML2502"",""SOT-23"",335.000000,-242.000000,-0.000000,bottom"
"Q12,""IRLML2502"",""SOT-23"",293.000000,-229.000000,-0.000000,bottom"
"Q13,""IRLML2502"",""SOT-23"",316.000000,-216.000000,-0.000000,bottom"
"Q14,""IRLML2502"",""SOT-23"",236.000000,-250.000000,-0.000000,bottom"
"Q15,""IRLML2502"",""SOT-23"",340.000000,-236.000000,-0.000000,bottom"
"Q16,""IRLML2502"",""SOT-23"",335.000000,-237.000000,-0.000000,bottom"
"Q17,""IRLML2502"",""SOT-23"",347.000000,-239.000000,-0.000000,bottom"
"Q18,""IRLML2502"",""SOT-23"",251.000000,-286.000000,-0.000000,bottom"
"Q20,""IRLML2502"",""SOT-23"",335.000000,-201.000000,-0.000000,bottom"
"Q21,""IRLML2502"",""SOT-23"",340.000000,-198.000000,-0.000000,bottom"
"Q22,""IRLML2502"",""SOT-23"",252.000000,-207.000000,-0.000000,bottom"
"Q23,""IRLML2502"",""SOT-23"",353.000000,-225.000000,-0.000000,bottom"
"Q24,""IRLML2502"",""SOT-23"",328.000000,-195.000000,-0.000000,bottom"
"Q25,""IRLML2502"",""SOT-23"",309.000000,-203.000000,-0.000000,bottom"
"R1,""15K 1%"",""R_0805_2012Metric"",202.000000,-234.000000,-0.000000,bottom"
"R2,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-227.000000,-0.000000,bottom"
"R3,""2.2K 1%"",""R_0805_2012Metric"",207.000000,-224.000000,-0.000000,bottom"
"R4,""2.2K 1%"",""R_0805_2012Metric"",202.000000,-224.000000,-0.000000,bottom"
"R16,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-237.000000,-0.000000,bottom"
"R17,""2.2K 1%"",""R_0805_2012Metric"",292.000000,-287.000000,-0.000000,bottom"
"R18,""10k"",""R_0805_2012Metric"",287.000000,-287.000000,-0.000000,bottom"
"R19,""36K 1%"",""R_0805_2012Metric"",287.000000,-284.000000,-0.000000,bottom"
"R20,""36K 1%"",""R_0805_2012Metric"",246.000000,-277.000000,-0.000000,bottom"
"R21,""36K 1%"",""R_0805_2012Metric"",277.000000,-287.000000,-0.000000,bottom"
"R22,""12K 1%"",""R_0805_2012Metric"",222.000000,-268.000000,-0.000000,bottom"
"R23,""5.1K 1%"",""R_0805_2012Metric"",304.000000,-288.000000,-0.000000,bottom"
"R24,""5.1K 1%"",""R_0805_2012Metric"",304.000000,-285.000000,-0.000000,bottom"
"R25,""36K 1%"",""R_0805_2012Metric"",272.000000,-287.000000,-0.000000,bottom"
"R26,""15K 1%"",""R_0805_2012Metric"",285.000000,-271.000000,-0.000000,bottom"
"R27,""2.2K 1%"",""R_0805_2012Metric"",282.000000,-287.000000,-0.000000,bottom"
"R28,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-280.000000,-0.000000,bottom"
"R29,""5.1K 1%"",""R_0805_2012Metric"",353.000000,-256.000000,-0.000000,bottom"
"R30,""5.1K 1%"",""R_0805_2012Metric"",350.000000,-280.000000,-0.000000,bottom"
"R31,""5.1K 1%"",""R_0805_2012Metric"",319.000000,-263.000000,-0.000000,bottom"
"R32,""5.1K 1%"",""R_0805_2012Metric"",331.000000,-256.000000,-0.000000,bottom"
"R33,""0.025Ω"",""R_1206_3216Metric"",329.000000,-242.000000,-0.000000,bottom"
"R34,""0.025Ω"",""R_1206_3216Metric"",249.000000,-228.000000,-0.000000,bottom"
"R35,""0.025Ω"",""R_1206_3216Metric"",297.000000,-243.000000,-0.000000,bottom"
"R36,""0.025Ω"",""R_1206_3216Metric"",309.000000,-223.000000,-0.000000,bottom"
"R37,""0.025Ω"",""R_1206_3216Metric"",247.000000,-200.000000,-0.000000,bottom"
"R39,""0.025Ω"",""R_1206_3216Metric"",303.000000,-223.000000,-0.000000,bottom"
"R40,""0.025Ω"",""R_1206_3216Metric"",304.000000,-216.000000,-0.000000,bottom"
"R41,""0.025Ω"",""R_1206_3216Metric"",293.000000,-225.000000,-0.000000,bottom"
"R42,""0.025Ω"",""R_1206_3216Metric"",228.000000,-218.000000,-0.000000,bottom"
"R43,""0.025Ω"",""R_1206_3216Metric"",352.000000,-216.000000,-0.000000,bottom"
"R44,""0.025Ω"",""R_1206_3216Metric"",304.000000,-268.000000,-0.000000,bottom"
"R45,""0.025Ω"",""R_1206_3216Metric"",242.000000,-261.000000,-0.000000,bottom"
"R46,""0.025Ω"",""R_1206_3216Metric"",309.000000,-229.000000,-0.000000,bottom"
"R48,""0.025Ω"",""R_1206_3216Metric"",299.000000,-256.000000,-0.000000,bottom"
"R49,""10R"",""R_0805_2012Metric"",207.000000,-257.000000,90.000000,bottom"
"R50,""10R"",""R_0805_2012Metric"",312.000000,-270.000000,90.000000,bottom"
"R51,""10R"",""R_0805_2012Metric"",220.000000,-192.000000,90.000000,bottom"
"R52,""12K 1%"",""R_0805_2012Metric"",213.000000,-255.000000,90.000000,bottom"
"R53,""12K 1%"",""R_0805_2012Metric"",308.000000,-259.000000,90.000000,bottom"
"R54,""12K 1%"",""R_0805_2012Metric"",220.000000,-205.000000,90.000000,bottom"
"R55,""47K 1%"",""R_0805_2012Metric"",209.000000,-235.000000,90.000000,bottom"
"R56,""15K 1%"",""R_0805_2012Metric"",206.000000,-233.000000,90.000000,bottom"
"R57,""47K 1%"",""R_0805_2012Metric"",298.000000,-270.000000,90.000000,bottom"
"R58,""15K 1%"",""R_0805_2012Metric"",292.000000,-269.000000,90.000000,bottom"
"R59,""47K 1%"",""R_0805_2012Metric"",209.000000,-192.000000,90.000000,bottom"
"R60,""15K 1%"",""R_0805_2012Metric"",215.000000,-192.000000,90.000000,bottom"
"R61,""10R"",""R_0805_2012Metric"",209.000000,-262.000000,90.000000,bottom"
"R62,""10R"",""R_0805_2012Metric"",207.000000,-202.000000,90.000000,bottom"
"R63,""12K 1%"",""R_0805_2012Metric"",242.000000,-268.000000,90.000000,bottom"
"R64,""12K 1%"",""R_0805_2012Metric"",228.000000,-204.000000,90.000000,bottom"
"R65,""47K 1%"",""R_0805_2012Metric"",246.000000,-260.000000,90.000000,bottom"
"R66,""15K 1%"",""R_0805_2012Metric"",249.000000,-255.000000,90.000000,bottom"
"R67,""47K 1%"",""R_0805_2012Metric"",272.000000,-192.000000,90.000000,bottom"
"R68,""15K 1%"",""R_0805_2012Metric"",281.000000,-192.000000,90.000000,bottom"
"R75,""10k"",""R_0805_2012Metric"",335.000000,-197.000000,-0.000000,bottom"
"R76,""320"",""R_0805_2012Metric"",309.000000,-236.000000,-0.000000,bottom"
"R77,""10k"",""R_0805_2012Metric"",352.000000,-200.000000,-0.000000,bottom"
"R78,""10k"",""R_0805_2012Metric"",347.000000,-191.000000,-0.000000,bottom"
"R79,""10k"",""R_0805_2012Metric"",242.000000,-201.000000,-0.000000,bottom"
"R80,""320"",""R_0805_2012Metric"",309.000000,-216.000000,-0.000000,bottom"
"R81,""320"",""R_0805_2012Metric"",348.000000,-256.000000,-0.000000,bottom"
"R82,""10k"",""R_0805_2012Metric"",332.000000,-191.000000,-0.000000,bottom"
"R83,""320"",""R_0805_2012Metric"",347.000000,-200.000000,-0.000000,bottom"
"R84,""10k"",""R_0805_2012Metric"",298.000000,-223.000000,-0.000000,bottom"
"R85,""10k"",""R_0805_2012Metric"",327.000000,-191.000000,-0.000000,bottom"
"R86,""10k"",""R_0805_2012Metric"",321.000000,-242.000000,-0.000000,bottom"
"R87,""47k"",""R_0805_2012Metric"",313.000000,-191.000000,-0.000000,bottom"
"R88,""2.2K 1%"",""R_0805_2012Metric"",269.000000,-221.000000,-0.000000,bottom"
"R89,""2.2K 1%"",""R_0805_2012Metric"",285.000000,-231.000000,-0.000000,bottom"
"R90,""2.2K 1%"",""R_0805_2012Metric"",272.000000,-230.000000,-0.000000,bottom"
"R91,""2.2K 1%"",""R_0805_2012Metric"",275.000000,-215.000000,-0.000000,bottom"
"R92,""2.2K 1%"",""R_0805_2012Metric"",284.000000,-243.000000,-0.000000,bottom"
"R93,""2.2K 1%"",""R_0805_2012Metric"",275.000000,-218.000000,-0.000000,bottom"
"R94,""2.2K 1%"",""R_0805_2012Metric"",285.000000,-252.000000,-0.000000,bottom"
"R95,""2.2K 1%"",""R_0805_2012Metric"",274.000000,-246.000000,-0.000000,bottom"
"R96,""2.2K 1%"",""R_0805_2012Metric"",285.000000,-255.000000,-0.000000,bottom"
"R97,""2.2K 1%"",""R_0805_2012Metric"",280.000000,-257.000000,-0.000000,bottom"
