"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"I2C_0x70_1,I2C_0x70_2,I2C_0x70_3,I2C_0x70_4,I2C_0x70_5,I2C_0x70_6,I2C_0x70_7,I2C_0x70_8","Conn_01x04_Pin","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","8","","37","","","","","","","Generic connector, single row, 01x04, script generated","","","","","","","","","","","","","","","","",""
"I2C_0x71_1,I2C_0x71_2,I2C_0x71_3,I2C_0x71_4,I2C_0x71_5,I2C_0x71_7,I2C_0x71_8","Conn_01x04_Pin","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","7","","38","","","","","","","Generic connector, single row, 01x04, script generated","","","","","","","","","","","","","","","","",""
"I2C_1,I2C_2","Conn_01x04_Pin","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","2","","39","","","","","","","Generic connector, single row, 01x04, script generated","","","","","","","","","","","","","","","","",""
"J2","USB3_A","~","CM5IO:MTCONN_UBAF30-D2011","1","","40","","UBAF30-D2011","UBAF30-D2011","Mtconn","","Dual USB 3 connector","","","","","","","","","","","","","","","","","",""
"J3,J4","690-019-298-412","https://www.tme.eu/Document/f15dffbcfad8545e17826f72d36911c8/206A-SEAN-R03.pdf","CM5IO:EDAC 690-019-298-412","2","","41","Farnell","2614936","690-019-298-412","EDAC","UCON00802","HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle","","","","","","","","","","","","","","","","","",""
"J5","MagJack-A70-112-331N126","https://p.globalsources.com/IMAGES/PDT/SPEC/690/K1160305690.pdf","CM5IO:TRJG0926HENL","1","","42","","TRJG0926HENL","TRJG0926HENL","Trxcon","UCON00900","Gigabit Ethernet Magjack","","","","","","","","","","","","","","","","","",""
"J6","Bus_M.2_Socket_M","","CM5IO:M.2 M Key socket","1","","43","","MTSSD03-67MSW337","MTSSD03-67MSW337","MTCONN","","M.2 M Key connector","M.2 Socket 3 Mechanical Key M","","","","","","","","","","","","","","","","",""
"J7","690-008-221-904","Conn USB Type A RCP 4/4 POS Solder RA Thru-Hole 8 Terminal 2 Port Tray","CM5IO:MOLEX_USB_67298-4090","1","","44","Farnell","2751688","None","Molex","None","USB-A (USB TYPE-A), Stacked Receptacle Connector 8 Position Through Hole, Right Angle","","","","","","","","","","","","","","","","","",""
"J8,J9,J10","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_Palconn_UTC16-G","3","","45","","","","","","","USB 2.0-only 16P Type-C Receptacle connector","","","","","","","","","","","","","","","","",""
"J11,J13","THD-02-R","https://www.toby.co.uk/uploads/publications/1673.pdf","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","2","","46","Toby","THD-02-R","151-604-425-761","EDAC","UCON00791","PinHeader_2x02_P2.54mm_Vertical","","","","","","","","","","","","","","","","","",""
"J12","Conn_01x04_Socket","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1","","47","","","","","","","Generic connector, single row, 01x04, script generated","","","","","","","","","","","","","","","","",""
"J14,J15","Conn_01x60_MountingPin","~","Connector_FFC-FPC:Amphenol_F32Q-1A7x1-11060_1x60-1MP_P0.5mm_Horizontal","2","","48","","","","","","","""Generic connectable mounting pin connector, single row, 01x60, script generated""","","","","","","","","","","","","","","","","",""
"J16","Conn_01x12","~","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","1","","49","","","","","","","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","","","","","","","","","",""
"J17,J18,J21,J22,J23,J24","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","6","","50","","","","","","","Generic connector, single row, 01x02, script generated","","","","","","","","","","","","","","","","",""
"J19,J20,J28","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","3","","51","","","","","","","Generic connector, single row, 01x08, script generated","","","","","","","","","","","","","","","","",""
"J25,J29","Conn_01x03_Pin","~","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","2","","52","","","","","","","Generic connector, single row, 01x03, script generated","","","","","","","","","","","","","","","","",""
"J31,J32","Conn_01x02_Pin","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","2","","53","","","","","","","Generic connector, single row, 01x02, script generated","","","","","","","","","","","","","","","","",""
"JI2C_0x71_6","Conn_01x04_Pin","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1","","54","","","","","","","Generic connector, single row, 01x04, script generated","","","","","","","","","","","","","","","","",""
"L1,L3,L4,L6,L7","HCM0703-3R3-R","https://www.bourns.com/docs/Product-Datasheets/SRN6045TA.pdf","Inductor_SMD:L_KOHERelec_MDA7030","5","","55","Farnell","2616889","SRN6045TA-3R3Y","Bourns","","3.3µH Semi-Shielded Wirewound Inductor 7.8A 21mOhm Nonstandard","","","","","","","","","","","","","","","","","",""
"M1,M2","M.2 Solder Nut","","","2","","56","","","","","","Solder nut for M.2 slot","","","","","","","","","","","","","","","","","",""
"M3","M.2 Screw","","","1","","57","","","","","","M.2 Screw","","","","","","","","","","","","","","","","","",""
"M4,M5,M6,M7","Stepper_Motor_unipolar_6pin","http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","4","","58","","","","","","","6-wire unipolar stepper motor","","","","","","","","","","","","","","","","",""
"Module1","ComputeModule5-CM5","","CM5IO:Raspberry-Pi-5-Compute-Module","1","","59","Amphenol","2x 10164227-1001A1RLF","2x 10164227-1001A1RLF","Hirose","","100 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold","RaspberryPi Compute module 5","","","","","","","","","","","","","","","","",""
